#p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
-1,0,0,0.000362636,0.003984109,0.995653255,0,0,0,0
-1,0,0,0.000362636,0.003984109,0.995653255,0,0,0,0
-1,0,0,0.000362636,0.003984109,0.995653255,0,0,0,0
-1,0,0,0.000362636,0.003984109,0.995653255,0,0,0,0
0,-1,0,0.000464111,0.005098965,0,0.994436924,0,0,0
0,-1,0,0.000464111,0.005098965,0,0.994436924,0,0,0
0,-1,0,0.000464111,0.005098965,0,0.994436924,0,0,0
0,-1,0,0.000464111,0.005098965,0,0.994436924,0,0,0
0,0,-1,0.000682267,0.007495744,0,0,0.991821989,0,0
0,0,-1,0.000682267,0.007495744,0,0,0.991821989,0,0
0,0,-1,0.000682267,0.007495744,0,0,0.991821989,0,0
0,0,-1,0.000682267,0.007495744,0,0,0.991821989,0,0
-0.9,0,-0.1,0.000394599,0.004335273,0.995270128,0,0,0,0
-0.9,0,-0.1,0.000394599,0.004335273,0.995270128,0,0,0,0
-0.9,0,-0.1,0.000394599,0.004335273,0.995270128,0,0,0,0
-0.9,0,-0.1,0.000394599,0.004335273,0.995270128,0,0,0,0
0,-0.9,-0.1,0.000485927,0.005338643,0,0.99417543,0,0,0
0,-0.9,-0.1,0.000485927,0.005338643,0,0.99417543,0,0,0
0,-0.9,-0.1,0.000485927,0.005338643,0,0.99417543,0,0,0
0,-0.9,-0.1,0.000485927,0.005338643,0,0.99417543,0,0,0
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
-1,0,0,0,0,0,0,0,0.040213268,0.391386732
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,-1,0,0,0,0,0,0,0.051465972,0.311534028
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,-1,0,0,0,0,0,0.075657654,0.324342346
0,0,0,0,0,-1,0,0,0.03297488,0.37810912
0,0,0,0,0,-1,0,0,0.03297488,0.37810912
0,0,0,0,0,-1,0,0,0.03297488,0.37810912
0,0,0,0,0,-1,0,0,0.03297488,0.37810912
0,0,0,0,0,0,-1,0,0.042202097,0.311229903
0,0,0,0,0,0,-1,0,0.042202097,0.311229903
0,0,0,0,0,0,-1,0,0.042202097,0.311229903
0,0,0,0,0,0,-1,0,0.042202097,0.311229903
0,0,0,0,0,0,0,-1,0.062039276,0.323240724
0,0,0,0,0,0,0,-1,0.062039276,0.323240724
0,0,0,0,0,0,0,-1,0.062039276,0.323240724
0,0,0,0,0,0,0,-1,0.062039276,0.323240724
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
-0.9,0,-0.1,0,0,0,0,0,0.043757707,0.384682293
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
0,-0.9,-0.1,0,0,0,0,0,0.05388514,0.31281486
